Title,Base,Projected,PercentChange,AvgAnnualOpenings,STFIPS,OccCode
Accountants and Auditors,1538400,1605800,4.4,126500,0,13-2011
Actors,78100,80600,3.2,9300,0,27-2011
Actuaries,30000,36900,23,2300,0,15-2011
Acupuncturists,26600,28000,5.3,1800,0,29-1291
Adhesive Bonding Machine Operators and Tenders,11400,11200,-1.8,1000,0,51-9191
"Administrative Law Judges, Adjudicators, and Hearing Officers",13200,13400,1.5,500,0,23-1021
Administrative Services Managers,250800,264900,5.6,21100,0,11-3012
Adult Basic and Secondary Education and Literacy Teachers and Instructors,42200,36900,-12.6,4200,0,25-3011
Advertising and Promotions Managers,30900,31400,1.6,2800,0,11-2011
Advertising Sales Agents,111400,103400,-7.2,10500,0,41-3011
Aerospace Engineering and Operations Technicians,10200,11000,7.8,1000,0,17-3021
Aerospace Engineers,63800,67700,6.1,3800,0,17-2011
"Agents and Business Managers of Artists, Performers, and Athletes",19900,21500,8,2100,0,13-1011
Agricultural Engineers,1600,1700,6.3,100,0,17-2021
Agricultural Equipment Operators,64000,69500,8.6,10400,0,45-2091
Agricultural Inspectors,14100,14400,2.1,2300,0,45-2011
"Agricultural Sciences Teachers, Postsecondary",10100,10500,4,800,0,25-1041
Agricultural Technicians,17600,18400,4.5,2500,0,19-4012
"Agricultural Workers, All Other",11200,11400,1.8,1700,0,45-2099
Air Traffic Controllers,23000,23300,1.3,2000,0,53-2021
Aircraft Cargo Handling Supervisors (SOC 2018),8000,8700,8.8,900,0,53-1041
Aircraft Mechanics and Service Technicians,140200,146200,4.3,10900,0,49-3011
Aircraft Service Attendants,19900,20800,4.5,3000,0,53-6032
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",33900,28800,-15,2800,0,51-2011
Airfield Operations Specialists,15000,15800,5.3,1400,0,53-2022
"Airline Pilots, Copilots, and Flight Engineers",91700,95200,3.8,10800,0,53-2011
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",10100,10100,0,1400,0,53-3011
Amusement and Recreation Attendants,343800,358100,4.2,99400,0,39-3091
Anesthesiologists (SOC 2018),40000,41100,2.8,1200,0,29-1211
Animal Breeders,6500,6600,1.5,1000,0,45-2021
Animal Control Workers,11900,12400,4.2,1200,0,33-9011
Animal Scientists,2800,2900,3.6,200,0,19-1011
Animal Trainers,54100,62800,16.1,9000,0,39-2011
Anthropologists and Archeologists,8000,8300,3.8,700,0,19-3091
"Anthropology and Archeology Teachers, Postsecondary",6200,6400,3.2,500,0,25-1061
"Arbitrators, Mediators, and Conciliators",9100,9600,5.5,400,0,23-1022
"Architects, Except Landscape and Naval",123700,129700,4.9,8200,0,17-1011
Architectural and Civil Drafters,107100,107700,0.6,10000,0,17-3011
Architectural and Engineering Managers,201500,209700,4.1,13600,0,11-9041
"Architecture Teachers, Postsecondary",8200,8500,3.7,700,0,25-1031
Archivists,9400,10200,8.5,1200,0,25-4011
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",11900,12400,4.2,1000,0,25-1062
Art Directors,135100,143200,6,13800,0,27-1011
"Art, Drama, and Music Teachers, Postsecondary",123900,127800,3.1,10200,0,25-1121
"Artists and Related Workers, All Other",14000,14500,3.6,1400,0,27-1019
Astronomers,2400,2600,8.3,200,0,19-2011
Athletes and Sports Competitors,14000,15200,8.6,1900,0,27-2021
Athletic Trainers,33800,38500,13.9,2700,0,29-9091
Atmospheric and Space Scientists,10500,11000,4.8,900,0,19-2021
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",13600,14100,3.7,1100,0,25-1051
Audio and Video Equipment Technicians,74800,78300,4.7,7100,0,27-4011
Audiologists,14400,15900,10.4,900,0,29-1181
Automotive and Watercraft Service Attendants,100700,100900,0.2,14600,0,53-6031
Automotive Body and Related Repairers,153300,155200,1.2,13400,0,49-3021
Automotive Glass Installers and Repairers,21900,22200,1.4,1700,0,49-3022
Automotive Service Technicians and Mechanics,782200,795000,1.6,67700,0,49-3023
Avionics Technicians,20800,21700,4.3,1900,0,49-2091
Baggage Porters and Bellhops,27700,29400,6.1,4700,0,39-6011
Bailiffs,17100,16800,-1.8,2300,0,33-3011
Bakers,218800,229600,4.9,33800,0,51-3011
Barbers,63100,67600,7.1,7300,0,39-5011
Bartenders,641300,662600,3.3,113500,0,35-3011
Bicycle Repairers,14400,14900,3.5,1700,0,49-3091
Bill and Account Collectors,209700,189600,-9.6,19200,0,43-3011
Billing and Posting Clerks,456300,456400,0,46700,0,43-3021
Biochemists and Biophysicists,34500,36800,6.7,2800,0,19-1021
"Biological Science Teachers, Postsecondary",62400,67700,8.5,5600,0,25-1042
"Biological Scientists, All Other",60400,62700,3.8,4700,0,19-1029
Biological Technicians,81400,85300,4.8,10600,0,19-4021
Biomedical Engineers,19700,20700,5.1,1200,0,17-2031
Boilermakers,13700,13100,-4.4,1100,0,47-2011
"Bookkeeping, Accounting, and Auditing Clerks",1735800,1627500,-6.2,183900,0,43-3031
Brickmasons and Blockmasons,73000,73300,0.4,5900,0,47-2021
Bridge and Lock Tenders,3800,3800,0,400,0,53-6011
Broadcast Technicians,39900,39400,-1.3,3400,0,27-4012
Brokerage Clerks,43700,39800,-8.9,4300,0,43-4011
Budget Analysts,51600,53300,3.3,3600,0,13-2031
"Building Cleaning Workers, All Other",17100,17500,2.3,2500,0,37-2019
Bus and Truck Mechanics and Diesel Engine Specialists,291600,294100,0.9,24300,0,49-3031
"Bus Drivers, School",358800,363700,1.4,55200,0,53-3051
"Bus Drivers, Transit and Intercity (SOC 2018)",156400,164800,5.4,21200,0,53-3052
