PRIM_STATE,OCC_CODE,OCC_TITLE,TOT_EMP,A_MEAN,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
AL,00-0000,All Occupations,"2,091,480","55,350","23,520","30,660","43,830","64,110","98,810"
AL,11-0000,Management Occupations,"110,240","118,670","51,100","72,870","100,640","142,480","203,900"
AL,11-1011,Chief Executives,830,"207,190","104,950","130,950","164,400","221,910",#
AL,11-1021,General and Operations Managers,"32,370","134,790","50,410","74,720","106,330","162,780",#
AL,11-1031,Legislators,"1,120","36,570","18,270","20,950","26,990","41,760","63,900"
AL,11-2011,Advertising and Promotions Managers,50,"130,180","83,570","86,500","133,570","144,710","150,670"
AL,11-2021,Marketing Managers,"1,660","130,660","65,360","83,940","112,960","163,580","219,000"
AL,11-2022,Sales Managers,"4,380","136,950","66,100","83,790","108,740","163,390",#
AL,11-2032,Public Relations Managers,410,"113,280","52,670","76,540","93,040","128,770","184,330"
AL,11-2033,Fundraising Managers,210,"108,350","55,350","60,260","85,600","110,650","194,180"
AL,11-3012,Administrative Services Managers,660,"107,710","34,740","47,350","97,960","134,200","173,430"
AL,11-3013,Facilities Managers,950,"124,750","79,590","92,870","119,330","143,480","174,650"
AL,11-3021,Computer and Information Systems Managers,"6,480","142,610","78,740","103,040","133,500","171,680","212,280"
AL,11-3031,Financial Managers,"6,390","153,650","84,440","105,000","138,040","179,950",#
AL,11-3051,Industrial Production Managers,"3,610","124,580","69,540","88,290","115,470","153,200","195,780"
AL,11-3061,Purchasing Managers,"1,400","129,810","75,830","94,140","127,680","156,290","196,090"
AL,11-3071,"Transportation, Storage, and Distribution Managers","1,180","111,980","58,610","73,410","102,540","134,680","180,740"
AL,11-3111,Compensation and Benefits Managers,110,"119,030","80,920","86,730","110,450","134,180","179,940"
AL,11-3121,Human Resources Managers,"1,990","121,520","66,810","82,620","110,030","146,810","180,380"
AL,11-3131,Training and Development Managers,110,"122,220","77,980","91,260","113,010","146,160","175,580"
AL,11-9021,Construction Managers,"7,520","101,320","57,050","73,430","92,620","122,990","161,010"
AL,11-9031,"Education and Childcare Administrators, Preschool and Daycare",780,"45,640","29,060","34,270","41,150","56,750","61,470"
AL,11-9032,"Education Administrators, Kindergarten through Secondary",**,"94,040","72,690","81,280","96,380","103,200","121,300"
AL,11-9033,"Education Administrators, Postsecondary","3,540","121,850","62,490","77,870","99,290","139,860","220,390"
AL,11-9039,"Education Administrators, All Other",**,"82,830","37,050","51,640","82,410","104,770","124,810"
AL,11-9041,Architectural and Engineering Managers,"3,480","160,920","102,590","129,120","157,520","185,820","222,160"
AL,11-9051,Food Service Managers,"5,090","63,650","40,120","52,290","59,920","73,500","86,720"
AL,11-9072,"Entertainment and Recreation Managers, Except Gambling",50,"64,750","27,870","33,290","69,330","79,350","100,870"
AL,11-9081,Lodging Managers,500,"76,650","46,080","57,270","78,430","90,210","103,840"
